Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
UPSRTC - RKD0130,Janrath AC Seater 2+3,17:31,22:31,05h 00m,520,47 Seats available,"3.4
12",Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - BLY0111,Janrath AC Seater 2+2,19:01,23:45,04h 44m,598,36 Seats available,"2.1
5",Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - HDD0063,Ordinary Non AC Seater 2+3,19:39,01:03,05h 24m,415,52 Seats available,3.3,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - RKD0128,Janrath AC Seater 2+2,20:01,01:01,05h 00m,598,36 Seats available,"4.3
12",Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - BRT0007,Ordinary Non AC Seater 2+3,21:25,04:00,06h 35m,448,52 Seats available,3.3,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - STD0354,Ordinary Non AC Seater 2+3,21:27,03:42,06h 15m,448,52 Seats available,3.3,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - BLY0139,Janrath AC Seater 2+2,21:31,03:30,05h 59m,598,36 Seats available,"2.4
6",Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - RKD0121,Shatabdi AC Seater 2+2,22:01,03:01,05h 00m,598,37 Seats available,"3.4
9",Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - STD0163,Ordinary Non AC Seater 2+3,22:09,05:25,07h 16m,448,52 Seats available,3.3,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - KSB0080,Shatabdi AC Seater 2+2,22:31,04:46,06h 15m,598,37 Seats available,3.3,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - HDD0005,Janrath AC Seater 2+2,22:45,05:30,06h 45m,602,36 Seats available,3.3,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - KSB0082,Shatabdi AC Seater 2+2,22:46,05:01,06h 15m,598,37 Seats available,"4.0
4",Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - STD0296,Ordinary Non AC Seater 2+3,23:13,06:31,07h 18m,448,52 Seats available,3.3,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
