Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
MMK Travels,VE A/C Seater / Sleeper (2+1),22:30,07:30,09h 00m,1100,4 Seats available,"4.4
489",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,09:00,10h 00m,1099,21 Seats available,"4.1
338",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Suraj Holidays,VE A/C Sleeper (2+1),22:30,07:30,09h 00m,1450,6 Seats available,"3.9
270",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
AdFAST LINE BUS,A/C Sleeper (2+1),21:15,06:15,09h 00m,2699,34 Seats available,"4.4
7",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
SURAJ TRAVEL HOUSE,VE A/C Seater / Sleeper (2+1),21:00,07:30,10h 30m,949,3 Seats available,"4.0
111",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
DLT BUS,A/C Sleeper (2+1),22:30,07:30,09h 00m,1499,6 Seats available,"3.8
311",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),22:00,07:05,09h 05m,999,2 Seats available,"3.4
128",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
A1 Travels,A/C Seater / Sleeper (2+1),21:45,07:00,09h 15m,1000,1 Seat available,"3.9
36",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
A1 Travels,Non A/C Seater / Sleeper (2+1),21:00,06:45,09h 45m,700,1 Seat available,"2.6
181",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
National travels and logistics,A/C Sleeper (2+1),22:45,07:00,08h 15m,1390,3 Seats available,"4.2
13",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 578,Super Express Non AC Seater Air Bus (2+2),18:00,04:00,10h 00m,513,29 Seats available,"3.8
29",Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
KSRTC (Kerala) - 1583,Super Express Non AC Seater Air Bus (2+2),20:02,05:21,09h 19m,640,28 Seats available,"3.4
20",Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
